"TCGA-OR-A5J2-01A-11R-A29S-07"	"TCGA-OR-A5J3-01A-11R-A29S-07"	"TCGA-OR-A5J6-01A-31R-A29S-07"	"TCGA-OR-A5J7-01A-11R-A29S-07"	"TCGA-OR-A5J8-01A-11R-A29S-07"	"TCGA-OR-A5J9-01A-11R-A29S-07"	"TCGA-OR-A5JA-01A-11R-A29S-07"	"TCGA-OR-A5JP-01A-11R-A29S-07"	"TCGA-OR-A5JR-01A-11R-A29S-07"	"TCGA-OR-A5JS-01A-11R-A29S-07"	"TCGA-OR-A5JT-01A-11R-A29S-07"	"TCGA-OR-A5JV-01A-11R-A29S-07"	"TCGA-OR-A5JW-01A-11R-A29S-07"	"TCGA-OR-A5JY-01A-31R-A29S-07"	"TCGA-OR-A5JZ-01A-11R-A29S-07"	"TCGA-OR-A5K0-01A-11R-A29S-07"	"TCGA-OR-A5K1-01A-11R-A29S-07"	"TCGA-OR-A5K3-01A-11R-A29S-07"	"TCGA-OR-A5K4-01A-11R-A29S-07"	"TCGA-OR-A5K5-01A-11R-A29S-07"	"TCGA-OR-A5K6-01A-11R-A29S-07"	"TCGA-OR-A5K8-01A-11R-A29S-07"	"TCGA-OR-A5KO-01A-11R-A29S-07"	"TCGA-OR-A5KU-01A-11R-A29S-07"	"TCGA-OR-A5KW-01A-11R-A29S-07"	"TCGA-OR-A5KX-01A-11R-A29S-07"	"TCGA-OR-A5KY-01A-11R-A29S-07"	"TCGA-OR-A5KZ-01A-11R-A29S-07"	"TCGA-OR-A5LD-01A-11R-A29S-07"	"TCGA-OR-A5LG-01A-11R-A29S-07"	"TCGA-OR-A5LH-01A-11R-A29S-07"	"TCGA-OR-A5LJ-01A-11R-A29S-07"	"TCGA-OR-A5LK-01A-11R-A29S-07"	"TCGA-OR-A5LL-01A-11R-A29S-07"	"TCGA-OR-A5LN-01A-11R-A29S-07"	"TCGA-OR-A5LO-01A-11R-A29S-07"	"TCGA-OR-A5LP-01A-11R-A29S-07"	"TCGA-OR-A5LS-01A-11R-A29S-07"	"TCGA-OR-A5LT-01A-11R-A29S-07"	"TCGA-OU-A5PI-01A-12R-A29S-07"	"TCGA-PA-A5YG-01A-11R-A29S-07"	"TCGA-PK-A5H9-01A-11R-A29S-07"	"TCGA-PK-A5HA-01A-11R-A29S-07"
"DIRAS3"	9.6631	18.9602	10.0594	588.4477	27.3518	2408.08	2276.4271	410.628	870.892	7.0292	1105.2943	2502.5961	7.0206	1008.9566	396.3056	13.7421	4.9686	5304.0103	8.9643	337.6206	413.9324	1696.6618	692.5961	7.4752	782.503	223.2314	11.5108	1676.3636	55.6309	685.7013	3170.3655	762.6479	1718.6441	31.7033	253.1792	824.123	7.4929	3471.4552	15.3061	58.1528	911.6967	301.1428	10.4741
"MAPK14"	2823.6469	1061.7686	1526.7965	1679.5026	1244.9233	1457.4952	1728.3298	757.5758	1024.8826	1368.8494	925.2635	1334.891	2208.4247	4512.7631	1168.7657	3070.296	661.6498	710.2199	942.9311	4271.0152	3350.8329	674.8911	1654.6392	1557.0921	1078.9793	1130.0191	1254.2335	1460.6061	1206.2415	896.8263	983.6191	1261.5152	1327.1186	1111.4102	1032.3699	1653.0514	896.5032	1583.6016	591.8367	1863.74	1047.619	1446.7417	1732.6351
"YAP1"	2305.059	1561.2502	904.2301	1547.9342	1587.6502	487.5317	977.8013	1191.0408	839.9061	1289.6781	867.4642	723.2606	1392.7161	1621.1375	1472.3762	1099.3658	888.5484	864.1656	1076.8352	1900.7809	736.4967	683.5994	1201.4995	1423.2854	1037.3971	1179.7323	1261.7598	1481.8182	839.8915	1233.0793	509.8703	953.9391	633.8983	3020.1884	584.9711	1452.667	2026.1678	1053.7015	981.2925	1312.4287	2400.8322	2031.2309	841.7861
"CDKN1B"	4248.9584	1348.541	4540.1518	2693.1408	1450.4766	1843.7128	2492.0719	2446.2011	2938.4977	2219.0159	1698.9222	3456.3863	3030.2764	2581.7286	4212.9303	3104.6512	2438.7467	3119.0168	4209.854	982.0854	1623.4225	1206.0958	2020.15	1734.2553	2409.0725	2633.8432	1734.145	3446.6667	1242.8765	1314.0712	3698.7597	1986.4083	2628.8136	3182.8922	2446.2428	4461.3167	2280.4856	1792.309	1825.6803	2632.8392	2237.6329	2139.0561	2981.2569
"ERBB2"	246.4098	90.0607	171.0101	55.7561	1579.7762	171.35	557.611	59.2885	101.8779	85.0906	109.9135	62.8245	74.5941	134.7962	314.3577	606.7653	141.6046	62.0957	286.8572	129.9954	237.2539	78.3745	260.5436	140.5345	179.8299	303.5373	153.6248	227.2727	549.5251	175.1792	135.2245	115.2781	98.3051	146.553	77.4566	132.6285	115.9195	88.0908	215.9864	297.6055	80.9061	1210.1544	85.4465
"G6PD"	1715.6081	3571.0265	1075.7991	1910.1484	3343.5557	14389.6632	3316.5962	7230.7861	14452.5822	2865.7048	11034.9402	5361.3707	1452.8302	4906.5383	8186.7338	904.4292	9551.2748	3760.6727	8824.7818	4504.3638	2782.9379	4371.553	2097.0009	1713.3246	2478.1963	1207.935	1950.1937	2238.7879	2366.3501	2173.5866	4492.5088	1234.3317	5866.1017	649.6187	4390.7514	1429.6012	6646.5181	1800.7589	2606.2925	4733.7514	4626.9071	614.1499	5048.5116
"KDR"	1246.141	486.4465	934.4084	1872.0417	674.2644	1792.3758	451.9027	441.8094	1528.6385	462.0792	4088.1203	724.8183	877.5779	732.6467	1014.2737	97.2516	1398.6564	411.3842	986.0717	211.3	331.6507	534.1074	478.4442	177.9107	436.344	261.9503	870.3929	760.6061	263.2293	313.5024	796.0646	502.3911	1900	119.0369	709.8266	423.3542	1558.9636	1762.4936	6227.8912	582.0981	1548.3125	2366.9197	1088.2029
"ERBB3"	14.8973	94.2083	924.9078	10.0281	12.8471	3.0598	32.7696	14.4928	14.0845	7.7691	10.4228	2.0768	9.6534	10.7479	6.0453	4.7569	12.4215	3.881	12.8862	4.5935	15.6487	8.7083	8.9035	1.495	10.8006	1.434	14.6099	2.4242	6.7843	4.0951	48.6252	12.5849	13.5593	1.7945	48.5549	3.8443	5.7299	15.5853	9.3537	10.2623	31.9001	10134.5198	6.0639
"AKT1S1"	939.7393	2295.3636	3415.1732	4325.712	2840.862	2947.2886	2048.0973	2595.9596	967.1362	1661.1173	756.6031	645.8982	1724.0018	1230.6314	628.0437	1430.7611	909.2509	1968.9521	1053.8642	2400.5512	2203.9374	2098.6938	1505.6232	1846.3839	4710.6791	1680.6883	5415.8273	1403.6364	4287.6526	1858.7191	1241.1013	1728.1651	1101.6949	1333.9315	1626.5896	1961.5569	1544.8593	2383.195	1639.4558	1663.0559	1683.3102	1123.9641	1057.8831
"MAPK8"	440.8803	113.1684	91.6525	220.6177	75.0104	194.1287	182.8753	258.2345	166.6667	92.4898	172.4506	171.3396	270.294	85.983	155.8354	111.5222	93.575	38.8098	228.5894	90.0322	91.368	15.9652	179.4752	74.0049	133.9274	118.5468	219.5905	154.5455	12.2117	62.3365	142.634	232.0664	110.1695	143.5621	62.4277	428.1595	125.6162	117.9061	255.9524	271.3797	102.6352	417.6917	245.8655
"PRKCD"	5132.7321	2352.2441	2684.7475	2404.3321	888.9349	2381.2215	1784.8837	455.4238	3514.0845	2220.4957	1241.7387	4145.379	6815.7086	4549.485	1730.9824	1298.0973	3299.1398	2600.2587	1303.7437	2298.576	4209.4902	2287.373	3624.1799	3133.6199	3643.0404	2337.9541	735.3625	1420	3731.3433	2963.0304	4556.8794	1979.8641	3069.4915	1645.581	4787.2832	631.4272	3184.9225	2636.6254	4399.6599	859.7491	2569.5793	1125.7088	2132.8556
"EIF4EBP1"	499.2617	612.0575	293.3998	316.085	1628.2636	321.2813	358.351	471.2341	236.6197	731.0396	466.185	258.567	41.2462	334.0797	170.6129	156.4482	377.6124	300.1294	425.8037	1748.2774	369.5103	278.6647	791.94	563.633	545.43	469.8853	494.0786	1599.3939	911.8046	379.479	192.1855	814.4979	371.1864	54.434	470.5202	94.1855	379.934	98.2551	236.3946	179.5895	242.7184	256.4774	656.5601
