"TCGA-OR-A5J2-01A-21-A39K-20"	"TCGA-OR-A5J3-01A-21-A39K-20"	"TCGA-OR-A5J6-01A-41-A39K-20"	"TCGA-OR-A5J7-01A-21-A39K-20"	"TCGA-OR-A5J8-01A-21-A39K-20"	"TCGA-OR-A5J9-01A-21-A39K-20"	"TCGA-OR-A5JA-01A-21-A39K-20"	"TCGA-OR-A5JP-01A-21-A39K-20"	"TCGA-OR-A5JR-01A-21-A39K-20"	"TCGA-OR-A5JS-01A-21-A39K-20"	"TCGA-OR-A5JT-01A-21-A39K-20"	"TCGA-OR-A5JV-01A-21-A39K-20"	"TCGA-OR-A5JW-01A-21-A39K-20"	"TCGA-OR-A5JY-01A-21-A39K-20"	"TCGA-OR-A5JZ-01A-21-A39K-20"	"TCGA-OR-A5K0-01A-21-A39K-20"	"TCGA-OR-A5K1-01A-21-A39K-20"	"TCGA-OR-A5K3-01A-21-A39K-20"	"TCGA-OR-A5K4-01A-21-A39K-20"	"TCGA-OR-A5K5-01A-21-A39K-20"	"TCGA-OR-A5K6-01A-21-A39K-20"	"TCGA-OR-A5K8-01A-21-A39K-20"	"TCGA-OR-A5KO-01A-21-A39K-20"	"TCGA-OR-A5KU-01A-21-A39K-20"	"TCGA-OR-A5KW-01A-21-A39K-20"	"TCGA-OR-A5KX-01A-21-A39K-20"	"TCGA-OR-A5KY-01A-21-A39K-20"	"TCGA-OR-A5KZ-01A-21-A39K-20"	"TCGA-OR-A5LD-01A-21-A39K-20"	"TCGA-OR-A5LG-01A-21-A39K-20"	"TCGA-OR-A5LH-01A-21-A39K-20"	"TCGA-OR-A5LJ-01A-21-A39K-20"	"TCGA-OR-A5LK-01A-21-A39K-20"	"TCGA-OR-A5LL-01A-21-A39K-20"	"TCGA-OR-A5LN-01A-21-A39K-20"	"TCGA-OR-A5LO-01A-21-A39K-20"	"TCGA-OR-A5LP-01A-21-A39K-20"	"TCGA-OR-A5LS-01A-21-A39K-20"	"TCGA-OR-A5LT-01A-21-A39K-20"	"TCGA-OU-A5PI-01A-21-A39K-20"	"TCGA-PA-A5YG-01A-21-A39K-20"	"TCGA-PK-A5H9-01A-21-A39K-20"	"TCGA-PK-A5HA-01A-21-A39K-20"
"G6PD"	-0.08519731825	-0.20554924375	0.0930056945	-0.10847549875	-0.91546133025	0.768320437	-0.39683593425	0.97373335325	2.0161853085	1.93269825475	1.66340621275	0.592309864	-0.422310828	2.464918215	1.1539893485	-0.808559796	1.632448793	0.4717408345	2.24743266425	0.0861244400000001	-0.52906961725	0.61297554675	-0.1743111495	0.00779180400000012	-0.481968895	-0.62698711075	-0.56202565575	-0.10589802425	-0.292975333	-0.01895913375	0.3178373795	-0.607078359	0.41912150425	-0.82543242825	0.214820987	-0.34251693175	0.146820449	-0.198729339	-0.31766208925	-0.349868657	0.25776892	-0.80035361975	-0.188895128
"IGFBP2"	-0.21647551575	-0.27123298825	0.896165715	0.36141229175	0.86501744525	-0.4112423875	0.58498617925	2.34910460875	-0.295973702	-0.54217888775	-0.0417660487500002	-0.1031230405	-0.2959783785	0.4477539625	-0.188884899	0.8268645505	-0.1896572035	-0.053181681	0.69410409275	0.1521686505	-0.30321136575	-0.16302194675	0.191778243	2.5482995565	0.00502075149999998	2.97764770775	-0.44054732325	0.95012970125	0.3023045865	0.41564555975	0.209909361	-0.0200226444999999	0.0109567857500001	0.22215342825	-0.4010750895	0.26811737775	-0.0720452335	-0.1417495115	-0.64631124175	-0.5819375425	0.0451355925000002	-0.56693911025	0.1274583445
"ASNS"	0.87918098925	0.12895004075	0.369809861	0.28392391675	1.01046145325	-0.5693264015	0.15054466325	0.27597451975	-0.207145708	-0.35417263275	-0.0964779927499999	-0.1788244235	-0.3893264675	0.4057644345	-0.126296926	-0.5002702485	0.1161816305	0.084035046	-0.50183304525	-0.2699134435	-0.0319982237500002	-0.0846627927500001	-0.0114158499999999	0.0284662214999999	0.0874390994999999	-0.21645822825	-0.00414651625000007	0.0676639182499999	-0.4290323905	-0.19649430225	0.417246295	0.4250314835	0.0495878047499999	-0.20193245275	-0.2205946045	0.12410038975	0.2189474935	-0.0419338325	-0.31187081175	-0.1219253125	0.2583291285	-0.33655118025	-0.2744068995
"RBM15"	-0.0641706517500001	0.02529566275	-0.817229108	0.19560674875	0.03114970625	0.6897283055	0.38908469025	0.70266416475	-0.337628901	-0.85160730975	-0.76815942575	-0.6850131375	-0.0143842765	-0.6552695365	-0.655840646	0.5716654505	-0.1880017835	-0.771674948	-0.71901945025	0.6942184515	0.48658744025	0.0894758852500002	0.710081873	-0.4808398995	0.0811639335000001	0.75071935675	0.39124762475	1.27574234525	1.0207123645	-0.05750925425	-0.897746031	0.5994253925	-0.48490729025	0.12359498625	-0.1688899835	-0.0548384582499999	-0.7045532855	-0.5743734315	-0.0668799947499998	-0.1757518175	-0.8562074765	-0.44444452325	-0.2547081175
"PTEN"	0.30270068325	0.33881929175	-0.546739924	0.41550142775	0.12608228325	0.8230564175	-0.17729763075	1.13545780375	-0.324968114	-0.51388870575	-0.19295969275	-0.4543621725	0.6328077455	-0.7574745335	-0.539432403	-0.2756172705	-0.4480436395	-0.347411248	-0.50020336025	-0.0640468665	0.42286193125	0.28307992725	0.0494173240000001	-0.5403682365	0.2133896135	-0.17874597925	0.39894778875	-0.02377001075	0.0291641705	0.32849259375	-0.985680399	0.00748524049999999	-0.39028606525	0.54229499525	-0.2154682205	-0.27715371425	-0.4364720795	0.4147136465	0.41401411525	0.5336028205	-0.5462424535	0.42900225575	-0.2179693325
"GATA3"	1.99142530125	-0.34591462625	1.98592113	2.05706843375	-0.80401038375	2.1449723895	-0.22362407375	2.11955608475	0.178779427	0.13509406325	0.16870709025	0.1953464205	-0.0899904525000002	-0.1069993785	0.0231205310000001	-0.3871379425	1.0472188285	1.009451565	-0.11209029825	0.9644245395	-0.22179570975	1.00119649725	-0.595447788	-0.3933879095	-0.1115052365	1.03498814975	-0.0993173152500002	-0.38993567475	1.4537903195	1.39760836175	0.152061069	1.2747747075	0.12179680675	-0.354579019750001	1.0423785965	-0.0890961002500002	1.6741963165	0.2507096845	-0.0593527717500002	-0.0506899805000002	1.9095406925	1.02111693575	0.0525367374999998
"PEA15"	0.71790218875	-0.15506742875	-0.4720215235	-0.11688474075	0.06184705875	-0.193921194	-0.00135140925000005	-0.32147724375	-0.3110090855	0.97266808975	-0.0415602852499999	0.0133353770000001	-0.254908921	0.424242548	-0.6069144915	0.51871565	0.000344991000000017	-0.3035005165	-0.03593431675	0.240250374	0.76533784275	0.0363220307499998	-0.2804511285	0.264687213	0.480950173	-0.46301062075	0.24815297925	0.04178696875	0.024471777	0.16161709325	-0.1520904535	0.366378856	-0.22477920075	1.94058691075	-0.0574500229999999	-0.18442078475	-0.380852977	-0.480088472	-0.0724518912499998	0.287857871	-0.30732538	-0.32083523775	-0.500434117
"ATM"	-0.12886682725	0.32836616125	-0.0467067465	-0.13501660975	0.00988012674999994	-0.122729536	-0.53300460525	-0.30929959675	-0.2760847385	-0.24824147225	-0.41390967825	0.141828224	0.0132068469999999	-0.174668277	-0.1803193715	0.41417411	0.430690484	-0.1332225805	-2.37305795975	1.121443874	0.32734265075	0.57491201775	0.4007179035	-0.54126792	0.461073916	-0.0525914427499998	0.50002126525	1.77422461975	1.19976681	0.65980923625	-0.4759117805	-0.217473769	0.07837632125	0.80229362975	0.248496796	-0.0204297597500001	-0.90112743	-0.487320327	-2.11927658825	0.365939242	-0.961185247	1.19955580325	-0.330286087
"BRCA2"	0.14858515425	-0.0856853892499999	0.398193419	-0.12135315725	0.14989551525	0.0182885425	0.04695984525	-0.0922251622499999	0.040142371	0.06895492625	0.21441447025	0.1175585095	-0.0851099594999999	0.2134636165	0.18238311	0.0875929765	0.00811770049999999	0.112745069	-0.02455757125	-0.1067656245	-0.16696871075	-0.03131820575	-0.238178768	0.2371619125	-0.0937819534999999	0.21591097775	-0.15312787025	0.24149928025	0.00685491550000004	0.10088799675	0.114726661	0.0264705855000001	0.11501261075	-0.0487719397500003	0.1423702005	0.07764938675	0.1603298205	0.1482844685	-0.0859108757499999	0.0800176415000001	0.2221160475	0.01607298875	0.1272854645
"EGFR"	-0.37422103075	0.43360635275	-0.101661446	0.25817092775	-0.16380541475	-0.4017439625	0.78464447325	-0.48527318425	-0.201343863	-0.00268729075000007	-0.23459335875	-0.4356347455	0.8767752105	0.0104966765	-0.352777759	-0.5697094845	-0.3147809385	-0.39267874	-0.37145268525	-0.0726222375	-0.30449072775	0.38155140025	0.17182682	-0.0164578415	0.7722755035	-0.12651763025	0.02039730775	0.28755904525	-0.4542034195	-0.00324701025000007	-0.273526848	-0.1279692575	-0.18500535225	1.06463499725	-0.1874282565	0.34978476575	0.0272054425	0.2752952445	-0.18165290875	-0.0579504865	0.0117482855000002	-0.69136110825	-0.3460499375
