"TCGA-OR-A5J2-01A-11D-A29H-01"	"TCGA-OR-A5J3-01A-11D-A29H-01"	"TCGA-OR-A5J6-01A-31D-A29H-01"	"TCGA-OR-A5J7-01A-11D-A29H-01"	"TCGA-OR-A5J8-01A-11D-A29H-01"	"TCGA-OR-A5J9-01A-11D-A29H-01"	"TCGA-OR-A5JA-01A-11D-A29H-01"	"TCGA-OR-A5JP-01A-11D-A29H-01"	"TCGA-OR-A5JR-01A-11D-A29H-01"	"TCGA-OR-A5JS-01A-11D-A29H-01"	"TCGA-OR-A5JT-01A-11D-A29H-01"	"TCGA-OR-A5JV-01A-11D-A29H-01"	"TCGA-OR-A5JW-01A-11D-A29H-01"	"TCGA-OR-A5JY-01A-31D-A29H-01"	"TCGA-OR-A5JZ-01A-11D-A29H-01"	"TCGA-OR-A5K0-01A-11D-A29H-01"	"TCGA-OR-A5K1-01A-11D-A29H-01"	"TCGA-OR-A5K3-01A-11D-A29H-01"	"TCGA-OR-A5K4-01A-11D-A29H-01"	"TCGA-OR-A5K5-01A-11D-A29H-01"	"TCGA-OR-A5K6-01A-11D-A29H-01"	"TCGA-OR-A5K8-01A-11D-A29H-01"	"TCGA-OR-A5KO-01A-11D-A29H-01"	"TCGA-OR-A5KU-01A-11D-A29H-01"	"TCGA-OR-A5KW-01A-11D-A29H-01"	"TCGA-OR-A5KX-01A-11D-A29H-01"	"TCGA-OR-A5KY-01A-11D-A29H-01"	"TCGA-OR-A5KZ-01A-11D-A29H-01"	"TCGA-OR-A5LD-01A-11D-A29H-01"	"TCGA-OR-A5LG-01A-11D-A29H-01"	"TCGA-OR-A5LH-01A-11D-A29H-01"	"TCGA-OR-A5LJ-01A-11D-A29H-01"	"TCGA-OR-A5LK-01A-11D-A29H-01"	"TCGA-OR-A5LL-01A-11D-A29H-01"	"TCGA-OR-A5LN-01A-11D-A29H-01"	"TCGA-OR-A5LO-01A-11D-A29H-01"	"TCGA-OR-A5LP-01A-11D-A29H-01"	"TCGA-OR-A5LS-01A-11D-A29H-01"	"TCGA-OR-A5LT-01A-11D-A29H-01"	"TCGA-OU-A5PI-01A-12D-A29H-01"	"TCGA-PA-A5YG-01A-11D-A29H-01"	"TCGA-PK-A5H9-01A-11D-A29H-01"	"TCGA-PK-A5HA-01A-11D-A29H-01"
"DIRAS3"	-2	0	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	0	-1	0	0	0	-1	-1	0	0	0	0	-1	0	0	0	-1	0	0	0	-1	-1	0	0	-1	0	-1	0	0	-1
"MAPK14"	0	0	1	1	0	0	1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	-1	1	0	0	-1	-1	-1	0	0	0
"YAP1"	0	0	0	1	-1	-1	-1	-1	0	-1	0	-1	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"CDKN1B"	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	0	0
"ERBB2"	0	0	0	-1	1	0	-1	-1	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	-1	-1	0	0	0	0	0	-2	0	-1	1	-1	0	0	-1
"G6PD"	1	1	1	0	-1	1	0	0	1	-1	1	0	-1	2	1	1	1	1	1	1	-1	1	1	1	-1	0	1	1	1	-1	1	1	1	-1	0	1	1	0	1	0	1	0	0
"KDR"	0	0	0	1	0	1	1	0	1	-1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	-1	0	0	1	0	1	1	1	0	0	1	1	1	0	0	-1
"ERBB3"	1	1	1	1	1	1	1	1	1	0	1	1	0	2	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	0	0
"AKT1S1"	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	2	1	2	1	1	0	1	1	1	-1	0	1	1	1	1	1	1	0	0
"MAPK8"	1	0	0	1	0	1	-1	1	0	-1	0	-1	0	-2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	-1	1	1	0	0	0
"PRKCD"	1	0	0	-1	0	0	-1	-1	1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	-1	0	0	0	-1	1	-1	0	0	0
