"TCGA-OR-A5J2-01A-11R-A29W-13"	"TCGA-OR-A5J3-01A-11R-A29W-13"	"TCGA-OR-A5J6-01A-31R-A29W-13"	"TCGA-OR-A5J7-01A-11R-A29W-13"	"TCGA-OR-A5J8-01A-11R-A29W-13"	"TCGA-OR-A5J9-01A-11R-A29W-13"	"TCGA-OR-A5JA-01A-11R-A29W-13"	"TCGA-OR-A5JP-01A-11R-A29W-13"	"TCGA-OR-A5JR-01A-11R-A29W-13"	"TCGA-OR-A5JS-01A-11R-A29W-13"	"TCGA-OR-A5JT-01A-11R-A29W-13"	"TCGA-OR-A5JV-01A-11R-A29W-13"	"TCGA-OR-A5JW-01A-11R-A29W-13"	"TCGA-OR-A5JY-01A-31R-A29W-13"	"TCGA-OR-A5JZ-01A-11R-A29W-13"	"TCGA-OR-A5K0-01A-11R-A29W-13"	"TCGA-OR-A5K1-01A-11R-A29W-13"	"TCGA-OR-A5K3-01A-11R-A29W-13"	"TCGA-OR-A5K4-01A-11R-A29W-13"	"TCGA-OR-A5K5-01A-11R-A29W-13"	"TCGA-OR-A5K6-01A-11R-A29W-13"	"TCGA-OR-A5K8-01A-11R-A29W-13"	"TCGA-OR-A5KO-01A-11R-A29W-13"	"TCGA-OR-A5KU-01A-11R-A29W-13"	"TCGA-OR-A5KW-01A-11R-A29W-13"	"TCGA-OR-A5KX-01A-11R-A29W-13"	"TCGA-OR-A5KY-01A-11R-A29W-13"	"TCGA-OR-A5KZ-01A-11R-A29W-13"	"TCGA-OR-A5LD-01A-11R-A29W-13"	"TCGA-OR-A5LG-01A-11R-A29W-13"	"TCGA-OR-A5LH-01A-11R-A29W-13"	"TCGA-OR-A5LJ-01A-11R-A29W-13"	"TCGA-OR-A5LK-01A-11R-A29W-13"	"TCGA-OR-A5LL-01A-11R-A29W-13"	"TCGA-OR-A5LN-01A-11R-A29W-13"	"TCGA-OR-A5LO-01A-11R-A29W-13"	"TCGA-OR-A5LP-01A-11R-A29W-13"	"TCGA-OR-A5LS-01A-11R-A29W-13"	"TCGA-OR-A5LT-01A-11R-A29W-13"	"TCGA-OU-A5PI-01A-12R-A29W-13"	"TCGA-PA-A5YG-01A-11R-A29W-13"	"TCGA-PK-A5H9-01A-11R-A29W-13"	"TCGA-PK-A5HA-01A-11R-A29W-13"
"hsa-let-7a-1"	45441	36021	35456	36551	23048	74906	21089	53478	31601	58017	50574	19780	106420	14735	67515	58206	42197	33741	107402	27422	12049	48416	83303	20204	57643	62060	57704	49618	38382	78136	61619	25178	74000	59265	65969	58790	15939	42156	39283	48579	29299	156685	76212
"hsa-let-7a-2"	90039	71631	70886	72451	45826	150297	41493	106809	63008	116535	100735	39133	211703	29494	134509	114873	84884	67280	214244	54686	23512	96596	165632	40120	115066	122751	115117	98974	75968	155761	122923	50010	147582	117895	131445	116836	31722	83865	78448	96356	58723	313142	150830
"hsa-let-7a-3"	47085	36134	36090	36460	23576	75803	21377	54159	31284	58480	50458	19985	106447	15228	68000	57869	42885	33318	108282	27965	11916	48509	83030	20314	58339	63307	58945	51463	40153	78984	61763	25417	74575	59465	66515	58462	16118	42304	39672	48876	29529	159119	76124
"hsa-let-7b"	114703	54498	42221	37305	25341	65348	51419	41611	30606	59581	52060	21680	78221	3776	74865	68308	40628	16671	107379	19476	37299	27860	69776	34727	58165	80903	60115	46767	36754	109082	40049	16180	60998	59234	39726	73439	15262	35974	26542	45994	25447	99748	65819
"hsa-let-7c"	16927	3799	22055	689	11846	12977	4046	8014	15937	3561	24356	1653	12732	1767	24898	698	7629	6092	26824	2112	1363	2464	3511	1730	6561	1595	4196	12942	977	17906	5450	1565	12115	17669	6182	3213	2874	1594	17766	5043	4374	31304	910
"hsa-let-7d"	12859	2040	3500	7599	7950	7980	6156	8701	5583	1950	2857	6668	1877	376	7373	7127	4093	6055	8909	731	2079	4958	4821	2346	3132	9196	9257	7845	14705	5728	1223	1691	4892	2232	5195	5073	2548	2869	4135	4028	4094	5358	11837
"hsa-let-7e"	14058	16222	23079	12465	15754	71864	7182	38179	33071	14236	27917	16900	38600	15250	34940	12607	16451	51314	54114	30659	2157	27654	33019	12729	63947	27772	32238	20462	28166	27511	21556	11502	36233	16913	40467	34464	16126	16060	43109	27790	25238	63258	39260
"hsa-let-7f-1"	144	240	149	131	175	398	132	373	132	223	186	82	575	41	427	596	257	215	513	44	65	317	426	185	359	253	264	319	263	384	188	293	185	213	188	457	86	201	251	380	150	288	193
"hsa-let-7f-2"	28947	67989	57189	78827	55341	181598	22394	106360	62920	95205	84265	23483	249086	13543	129668	100532	69513	131942	173025	12951	8468	121055	167536	42510	109950	83014	98751	93568	70227	110818	80017	81304	110482	89475	111530	227179	31126	87380	115885	127626	65491	204678	109264
"hsa-let-7g"	12809	2692	4331	3877	3859	5522	2927	3136	5712	5167	3226	5422	5619	771	4985	6530	3529	6347	6530	1882	3291	3911	2728	3515	3417	4429	4400	5110	6544	5575	4258	2609	7504	4225	8645	6901	3087	2379	5549	3423	7740	7115	9626
"hsa-let-7i"	4840	2703	888	1751	7111	3452	2616	2054	2499	1495	1306	1794	1189	303	2295	1900	1775	3107	3786	496	762	1220	1207	2344	2341	2152	2048	2457	2766	1597	1179	1676	1332	1238	1468	4312	1084	1154	1586	2021	1637	1465	1549
"hsa-mir-1-2"	35	6	12	24	6	45	37	16	14	12	15	7	24	10	3	17	14	32	19	11	5	20	42	21	19	14	25	9	17	18	15	47	17	20	17	147	56	1	8	67	40	235	33
"hsa-mir-100"	70880	10583	647	532	12883	3231	3058	5000	29352	3503	5151	1465	8211	4687	1358	1277	1841	2704	167	9126	3403	5069	3614	8443	3684	220	6583	1219	1234	4837	2984	1677	3052	12549	1561	9566	4703	911	425	11102	14638	5602	2330
"hsa-mir-101-1"	80542	37945	59884	33807	22106	67872	50768	16365	54514	42451	27725	80171	93130	17346	25535	58056	32967	60486	55851	8448	25224	73164	32755	24963	30975	35718	35108	9548	33497	40838	68040	29214	59888	51139	91270	145616	30309	88242	42626	65226	85304	169075	87321
"hsa-mir-101-2"	434	197	293	148	187	170	353	121	321	215	266	349	564	152	336	102	495	704	682	44	55	481	470	215	281	440	201	80	328	366	522	266	577	292	693	576	343	358	411	383	954	722	468
"hsa-mir-103-1"	60623	80960	27048	50045	49169	284628	56547	115776	48896	57322	29756	73322	125057	81661	86712	49073	84530	76103	57934	26846	43689	80964	106811	43667	58745	119580	112391	174583	124287	113928	67918	62092	103808	73985	161922	123583	76868	114143	53439	150687	127674	83162	66193
"hsa-mir-103-2"	40	35	37	43	53	179	68	111	35	29	29	51	76	77	133	25	120	99	114	14	43	74	103	57	69	114	72	176	83	174	46	42	71	51	89	57	63	210	48	78	81	52	41
"hsa-mir-105-1"	19	1	0	5	19	0	138	14	64	0	163	8	1	309	8	290	122	1	333	4	7	5	1	1	119	5	6	2	2	4	0	1	1	0	1	1	0	3	109	1	1	1	0
"hsa-mir-105-2"	26	3	1	2	15	1	154	5	63	0	167	9	1	283	10	300	138	5	389	5	5	2	0	0	124	5	9	1	1	4	2	1	0	0	1	5	1	3	109	1	1	1	3
"hsa-mir-106a"	15	16	11	37	75	88	17	13	10	16	14	11	10	16	7	17	7	49	15	11	20	10	19	40	5	34	8	31	32	10	84	14	18	11	21	37	9	57	15	23	7	21	11
"hsa-mir-106b"	2059	845	680	3470	1814	1663	4979	879	1348	2702	631	1247	1155	3265	585	1904	963	1426	999	470	2058	1643	1490	837	989	2000	2283	5585	2884	1135	1135	754	1221	866	1283	1141	576	1372	608	524	1059	1138	1212
"hsa-mir-107"	179	355	52	145	79	486	131	174	85	343	47	118	575	130	99	346	95	144	68	68	268	221	184	106	157	110	294	150	147	160	216	155	90	270	290	322	107	402	77	458	294	292	109
"hsa-mir-10a"	502523	77898	47343	135398	142486	86335	147265	136115	22910	43192	10523	82020	193193	116199	9304	439437	120157	72608	55444	132863	109547	152242	156845	57708	52977	134617	239072	40100	27840	252057	63293	28353	37219	194972	36638	221698	86776	100440	44332	125332	153476	128195	92270
"hsa-mir-10b"	4072640	492364	1193450	792864	901770	802862	714912	1167018	827916	1205042	567921	963344	741512	518185	106183	1039523	1151628	938387	1011308	541440	772156	1555551	671889	659914	1270859	1217423	831396	614403	2944704	2409804	393125	510386	1009172	1461839	581233	1264186	756464	1047483	1449542	1168767	850028	1412842	541355
"hsa-mir-1179"	1	0	1	2	0	2	11	8	1	2	0	0	7	5	2	2	3	1	0	1	5	2	0	4	6	2	5	5	5	0	9	0	1	2	4	9	1	4	0	1	0	0	0
"hsa-mir-1180"	204	278	167	122	149	139	285	132	349	449	154	173	101	269	274	202	334	314	409	58	207	91	236	212	254	488	280	369	519	151	118	26	97	88	396	421	77	81	777	114	100	124	156
"hsa-mir-1185-1"	1	43	52	25	10	0	65	33	0	32	0	1	1	0	1	0	0	25	112	12	25	0	69	2	95	54	0	63	100	11	1	15	1	4	36	60	0	51	10	14	0	87	2
"hsa-mir-1185-2"	0	15	29	9	3	0	25	17	0	17	0	1	1	0	0	0	0	13	47	5	14	0	28	1	27	19	0	22	39	7	0	6	1	3	19	32	0	24	5	7	1	17	0
"hsa-mir-1193"	0	13	1	4	0	0	9	3	0	0	0	0	0	0	0	0	0	2	8	1	7	0	7	0	1	2	0	4	2	1	0	4	0	0	2	6	0	4	0	1	0	2	0
"hsa-mir-1197"	0	13	21	36	9	0	71	39	0	24	1	0	0	0	0	1	0	5	21	18	2	0	50	0	83	19	0	74	64	5	0	3	1	0	14	82	0	26	3	1	0	50	0
"hsa-mir-122"	0	0	5	19	2	8	10	0	0	33	1	0	21	4	0	1	0	1	2	1	4	7	6	0	6	0	2	0	0	0	0	0	0	5	1	106	2	6	0	0	1	126	1
"hsa-mir-1224"	50	112	1	21	1	219	2601	10	190	44	54	177	146	26	698	20	112	460	1031	30	27	62	235	366	731	6	2038	115	308	395	192	13	94	39	175	2512	24	29	396	597	165	9	14
"hsa-mir-1226"	81	7	29	7	20	16	6	53	19	3	9	20	1	21	6	6	3	15	11	38	4	4	2	2	11	45	17	47	218	4	0	1	13	2	5	15	8	4	12	2	2	24	14
"hsa-mir-1228"	6	7	6	8	112	14	2	11	22	1	9	8	1	13	12	6	6	4	16	5	2	2	1	14	7	1	6	3	72	2	1	1	10	2	16	24	0	8	69	0	0	6	13
"hsa-mir-1229"	34	7	40	21	7	17	5	119	36	22	8	16	3	91	21	12	4	8	28	102	12	2	2	27	34	89	23	9	40	3	8	5	13	1	12	171	7	14	14	9	7	6	24
"hsa-mir-124-1"	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	6	0	3	1	1	1	0	1	0	10	0	2	3	0	0	0	34	0	0	0	16	1	0	0
"hsa-mir-124-2"	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	1	3	0	1	0	1	1	0	0	0	1	0	5	0	0	0	0	21	0	2	0	5	1	0	0
"hsa-mir-124-3"	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	1	0	4	0	2	2	0	0	0	25	0	1	0	4	0	0	2
"hsa-mir-1245"	13	0	0	1	132	0	2	2	1	2	0	2	1	2	0	1	5	1	0	0	0	2	6	3	1	0	6	58	1	2	0	0	15	0	1	3	1	1	1	4	2	0	4
"hsa-mir-1247"	42	5	3	2	0	9	33	14	49	5	68	8376	6	1	3	7	2	3	31	1	14	2	1	11	3	1	103	2	24	11	12	9	41	21	133	17	61	1	0	53	7	132	0
"hsa-mir-1248"	25	9	0	3	6	8	16	16	12	3	3	3	7	83	5	15	12	53	7	148	3	4	5	12	14	22	8	526	35	3	7	6	8	4	7	50	3	7	6	17	8	4	7
"hsa-mir-1249"	9	7	3	6	6	3	7	5	7	6	0	5	4	3	2	14	1	3	2	2	19	10	0	4	2	2	18	0	5	5	2	5	19	12	6	2	2	5	16	4	9	2	5
"hsa-mir-1251"	12	13	0	1	1	12	3	57	1	0	1	8	0	45	0	159	2	16	1	57	2	0	1	8	4	0	1	60	1	0	10	3	61	0	0	7	0	2	4	0	0	0	10
